user_id,campaign_id,click,converted,impression,lead,qualified,converted_date,event_time
U0048,CAMP_3,1,0,1,0,0,,2024-02-12 09:35:00
U0049,CAMP_3,1,0,1,0,0,,2024-01-15 13:38:00
U0050,CAMP_1,1,1,1,1,1,2024-02-11 07:12:00,2024-02-02 00:00:00
U0051,CAMP_2,1,0,1,1,0,,2024-03-10 10:47:00
U0052,CAMP_3,1,1,1,1,1,2024-01-18 04:15:00,2024-01-16 11:08:00
U0053,CAMP_1,0,0,1,0,0,,2024-03-11 10:06:00
U0054,CAMP_3,1,0,1,0,0,,2024-03-15 13:42:00
U0055,CAMP_1,0,0,1,0,0,,2024-01-03 10:16:00
U0056,CAMP_1,1,0,1,1,0,,2024-03-19 13:42:00
U0057,CAMP_1,1,0,1,1,0,,2024-03-12 09:20:00
U0058,CAMP_2,0,0,1,0,0,,2024-01-12 13:46:00
U0059,CAMP_2,1,0,1,0,0,,2024-01-06 10:30:00
U0060,CAMP_2,1,0,1,1,0,,2024-02-14 11:07:00
U0061,CAMP_1,1,0,1,1,1,,2024-01-02 13:00:00
U0062,CAMP_3,1,0,1,0,0,,2024-01-08 09:12:00
U0063,CAMP_4,1,0,1,1,0,,2024-01-09 09:35:00
U0064,CAMP_4,1,1,1,1,1,2024-01-13 00:06:00,2024-01-11 09:14:00
U0065,CAMP_1,0,0,1,0,0,,2024-03-20 12:42:00
U0066,CAMP_3,1,0,1,1,1,,2024-02-20 13:21:00
U0067,CAMP_3,0,0,1,0,0,,2024-03-14 09:00:00
U0068,CAMP_2,1,0,1,1,0,,2024-03-14 09:35:00
U0069,CAMP_3,0,0,1,0,0,,2024-03-10 13:19:00
U0070,CAMP_4,1,0,1,1,0,,2024-03-13 11:31:00
U0071,CAMP_4,1,0,1,1,1,,2024-01-06 13:51:00
U0072,CAMP_3,1,0,1,1,0,,2024-01-07 12:40:00
U0073,CAMP_3,1,0,1,1,1,,2024-03-15 12:46:00
U0074,CAMP_2,0,0,1,0,0,,2024-01-10 13:23:00
U0075,CAMP_3,0,0,1,0,0,,2024-02-08 11:38:00
U0076,CAMP_2,1,0,1,0,0,,2024-01-01 09:23:00
U0077,CAMP_1,1,0,1,1,1,,2024-03-14 13:54:00
U0078,CAMP_4,1,0,1,0,0,,2024-01-05 09:02:00
U0079,CAMP_2,1,0,1,0,0,,2024-03-17 12:57:00
U0080,CAMP_2,0,0,1,0,0,,2024-03-15 10:08:00
U0081,CAMP_3,1,0,1,1,1,,2024-03-20 13:18:00
U0082,CAMP_4,1,0,1,1,1,,2024-01-09 11:06:00
U0083,CAMP_2,1,0,1,1,0,,2024-03-15 09:39:00
U0084,CAMP_3,1,0,1,1,0,,2024-03-18 09:41:00
U0085,CAMP_4,1,0,1,0,0,,2024-03-07 09:32:00
U0086,CAMP_3,1,1,1,1,1,2024-02-17 01:27:00,2024-02-15 12:32:00
U0087,CAMP_1,1,1,1,1,1,2024-01-15 00:53:00,2024-01-13 13:04:00
U0088,CAMP_2,1,0,1,1,1,,2024-01-08 11:19:00
U0089,CAMP_3,1,0,1,1,1,,2024-03-06 12:59:00
U0090,CAMP_4,1,1,1,1,1,2024-03-21 05:22:00,2024-03-19 09:13:00
U0091,CAMP_2,0,0,1,0,0,,2024-03-09 12:14:00
U0092,CAMP_2,1,0,1,1,1,,2024-03-11 11:52:00
U0093,CAMP_1,1,0,1,1,1,,2024-03-01 13:36:00
U0094,CAMP_1,0,0,1,0,0,,2024-03-01 11:06:00
U0095,CAMP_1,1,1,1,1,1,2024-03-07 10:22:00,2024-03-05 11:02:00
U0096,CAMP_2,1,0,1,1,1,,2024-03-09 12:08:00
U0097,CAMP_2,1,0,1,1,0,,2024-01-04 13:56:00
U0098,CAMP_4,1,0,1,1,1,,2024-02-07 09:38:00
U0099,CAMP_1,1,0,1,1,0,,2024-03-20 10:01:00
U0100,CAMP_4,1,0,1,1,0,,2024-03-03 13:19:00
U0101,CAMP_4,1,0,1,1,1,,2024-01-04 12:41:00
U0102,CAMP_4,1,0,1,0,0,,2024-01-17 11:18:00
U0103,CAMP_4,1,0,1,1,1,,2024-01-14 11:17:00
U0104,CAMP_4,1,0,1,0,0,,2024-01-15 13:51:00
U0105,CAMP_4,1,0,1,1,0,,2024-02-01 13:13:00
U0106,CAMP_2,1,0,1,1,0,,2024-01-09 11:54:00
U0107,CAMP_3,1,1,1,1,1,2024-01-02 21:04:00,2024-01-01 13:24:00
U0108,CAMP_2,1,0,1,1,1,,2024-02-21 13:11:00
U0109,CAMP_2,1,0,1,1,1,,2024-01-08 11:36:00
U0110,CAMP_3,1,0,1,1,1,,2024-01-18 11:49:00
U0111,CAMP_3,1,0,1,0,0,,2024-01-04 10:38:00
U0112,CAMP_2,1,0,1,0,0,,2024-01-07 13:07:00
U0113,CAMP_3,0,0,1,0,0,,2024-02-07 11:31:00
U0114,CAMP_3,1,0,1,0,0,,2024-01-10 09:07:00
U0115,CAMP_3,0,0,1,0,0,,2024-01-02 13:43:00
U0116,CAMP_2,1,0,1,1,1,,2024-01-04 09:06:00
U0117,CAMP_4,1,0,1,1,0,,2024-01-06 09:26:00
U0118,CAMP_1,1,0,1,1,1,,2024-01-16 09:37:00
U0119,CAMP_2,1,0,1,0,0,,2024-01-19 11:35:00
U0120,CAMP_1,1,1,1,1,1,2024-01-17 00:20:00,2024-01-14 10:55:00
U0121,CAMP_4,1,0,1,1,0,,2024-02-19 09:30:00
U0122,CAMP_2,1,0,1,1,0,,2024-01-03 10:20:00
U0123,CAMP_1,1,0,1,0,0,,2024-01-01 12:29:00
U0124,CAMP_4,1,0,1,1,0,,2024-01-02 10:58:00
U0125,CAMP_1,1,0,1,0,0,,2024-01-09 10:41:00
U0126,CAMP_2,1,0,1,0,0,,2024-01-09 10:12:00
U0127,CAMP_2,1,0,1,1,0,,2024-01-20 13:51:00
U0128,CAMP_4,1,0,1,1,0,,2024-02-13 11:19:00
U0129,CAMP_4,0,0,1,0,0,,2024-01-20 09:20:00
U0130,CAMP_3,1,1,1,1,1,2024-01-11 14:54:00,2024-01-09 09:13:00
U0131,CAMP_1,1,0,1,1,0,,2024-01-19 09:20:00
U0132,CAMP_4,1,0,1,1,0,,2024-01-06 13:59:00
U0133,CAMP_1,1,0,1,1,1,,2024-02-12 12:29:00
U0134,CAMP_2,1,0,1,1,0,,2024-01-14 13:13:00
U0135,CAMP_1,1,0,1,1,1,,2024-01-03 11:41:00
U0136,CAMP_1,1,1,1,1,1,2024-01-17 02:55:00,2024-01-15 12:31:00
U0137,CAMP_4,1,0,1,1,1,,2024-01-02 10:44:00
U0138,CAMP_4,1,0,1,1,1,,2024-01-04 09:14:00
U0139,CAMP_3,1,1,1,1,1,2024-01-02 18:27:00,2024-01-01 13:42:00
U0140,CAMP_1,1,0,1,0,0,,2024-01-16 11:29:00
U0141,CAMP_4,1,0,1,1,1,,2024-01-16 11:04:00
U0142,CAMP_2,1,1,1,1,1,2024-02-18 23:49:00,2024-02-17 10:09:00
U0143,CAMP_3,0,0,1,0,0,,2024-01-10 11:32:00
U0144,CAMP_4,1,0,1,0,0,,2024-01-15 13:35:00
U0145,CAMP_3,1,1,1,1,1,2024-01-20 21:06:00,2024-01-18 12:13:00
U0146,CAMP_4,1,0,1,0,0,,2024-01-14 09:22:00
U0147,CAMP_4,1,0,1,1,1,,2024-01-21 10:17:00
U0148,CAMP_3,0,0,1,0,0,,2024-01-15 09:51:00
U0149,CAMP_4,0,0,1,0,0,,2024-02-05 12:29:00
U0150,CAMP_2,0,0,1,0,0,,2024-01-16 11:15:00
